"","edge","mean","pattern"
"289",0.650252,0.160241,-7.174538
"290",0.627647,0.138657,18.324916
"291",0.579888,0.172404,25.980338
"292",0.580174,0.15595,16.862565
"293",0.622635,0.13577,21.628216
"294",0.701034,0.207006,-14.28189
"295",0.71322,0.153828,7.039289
"296",0.59768,0.151907,38.071874
"297",0.642131,0.208377,20.916386
"298",0.659795,0.152422,6.1489
"299",0.534768,0.180492,-10.61445
"300",0.592558,0.19667,10.528533
"301",0.607822,0.16424,3.409661
"302",0.791507,0.156945,40.294657
"303",0.589211,0.173458,5.658893
"304",0.686409,0.180213,-7.891668
"305",0.544242,0.202156,5.981069
"306",0.728275,0.161241,16.788556
"307",0.633282,0.150213,16.24526
"308",0.658329,0.15003,-3.472502
"309",0.635453,0.147451,21.59276
"310",0.589719,0.169055,12.522267
"311",0.674118,0.167565,16.588252
"312",0.638025,0.164391,-7.356138
"313",0.755569,0.14553,14.110561
"314",0.687064,0.17703,15.096658
"315",0.714321,0.170031,17.949076
"316",0.767316,0.147308,0.950581
"317",0.610871,0.15643,25.333558
"318",0.735183,0.12129,26.845135
"319",0.64719,0.182993,30.331692
"320",0.586375,0.149596,-4.006131
"321",0.671627,0.135733,15.346636
"322",0.592743,0.184365,-10.16291
"323",0.675651,0.188512,24.402035
"324",0.647164,0.178434,10.40263
"325",0.758519,0.138971,18.472774
"326",0.62119,0.194138,22.175978
"327",0.569564,0.141527,10.917645
"328",0.779392,0.144642,15.24827
"329",0.639404,0.195946,39.598043
"330",0.620179,0.180658,19.948125
"331",0.635734,0.132484,11.72625
"332",0.637853,0.141694,31.3657
"333",0.672267,0.142595,21.045563
"334",0.628852,0.207648,-13.011849
"335",0.646582,0.145924,15.280826
"336",0.599125,0.184218,14.857447
"337",0.603683,0.165868,32.969369
"338",0.60998,0.178845,20.046782
"339",0.639734,0.163623,-2.353084
"340",0.598451,0.184379,-8.598112
"341",0.599665,0.132362,29.106286
"342",0.668527,0.157225,13.211601
"343",0.636217,0.156885,29.073512
"344",0.69741,0.140907,29.901861
"345",0.659534,0.129917,-10.422627
"346",0.767519,0.143069,9.795095
"347",0.626471,0.156901,-18.037154
"348",0.637107,0.141435,-0.97886
"349",0.808194,0.16805,17.862462
"350",0.698,0.142077,-0.8765
"351",0.706863,0.176091,-8.340475
"352",0.524146,0.163509,-17.860436
"353",0.655575,0.154917,-0.428434
"354",0.65086,0.195815,22.562482
"355",0.631486,0.164468,-0.958299
"356",0.813245,0.167405,19.547798
"357",0.715149,0.153594,8.698774
"358",0.643132,0.17067,17.240221
"359",0.606548,0.160064,14.19595
"360",0.558951,0.16886,-19.048257
"361",0.592687,0.167588,6.036357
"362",0.899147,0.133676,23.930403
"363",0.781586,0.1509,-3.870623
"364",0.687271,0.154264,9.865899
"365",0.597671,0.166444,8.625252
"366",0.68544,0.154078,-8.430011
"367",0.741842,0.139266,13.664984
"368",0.891586,0.151617,12.389954
"369",0.693978,0.156327,3.523237
"370",0.603286,0.219437,28.157707
"371",0.69854,0.151792,-7.482502
"372",0.746519,0.177037,23.388176
"373",0.87593,0.158072,17.185677
"374",0.673378,0.160451,1.541971
"375",0.652089,0.150037,24.290956
"376",0.666479,0.157175,1.611659
"377",0.970091,0.127835,10.030405
"378",0.609858,0.160144,4.868802
"379",0.631921,0.231235,48.908142
"380",0.634915,0.1462,-0.076873
"381",0.610218,0.161622,25.466917
"382",0.571631,0.164475,46.050999
"383",0.709326,0.144586,-5.890528
"384",0.61196,0.153326,3.16125
"385",0.659118,0.160483,4.225899
"386",0.662867,0.157583,-2.852785
"387",0.751253,0.1478,23.090605
"388",0.637941,0.15734,15.294114
"389",0.913334,0.15447,5.890363
"390",0.914752,0.137969,13.913921
"391",0.684099,0.187873,12.039831
"392",0.731964,0.158251,8.603792
"393",0.615532,0.133699,7.206221
"394",0.73774,0.133547,22.857954
"395",0.65806,0.140502,28.644516
"396",0.881951,0.144972,2.402749
"397",0.66265,0.169132,20.705382
"398",0.614497,0.149733,18.059251
"399",0.555234,0.148053,35.042664
"400",0.783649,0.148307,4.129876
"401",0.599082,0.141961,-1.210077
"402",0.569414,0.193995,46.142866
"403",0.629487,0.155681,11.975859
"404",0.607552,0.185298,51.819784
"405",0.653216,0.152578,7.018059
"406",0.674838,0.166951,-12.00031
"407",0.777739,0.148426,9.504822
"408",0.609956,0.128347,-11.30164
"409",0.705643,0.145042,11.505799
"410",0.510708,0.16771,11.587779
"411",0.643964,0.162319,-6.667028
"412",0.564465,0.216536,28.400362
"413",0.837422,0.132827,14.560162
"414",0.61095,0.110076,30.289899
"415",0.605783,0.165838,18.737524
"416",0.633356,0.150724,16.236409
"417",0.595945,0.204235,21.775435
"418",0.624756,0.198255,20.313474
"419",0.84955,0.12802,14.283416
"420",0.56858,0.14027,34.427224
"421",0.632306,0.130204,30.075448
"422",0.518244,0.143351,4.366728
"423",0.609857,0.14405,24.522618
"424",0.629162,0.140055,23.85634
"425",0.926592,0.13818,9.599494
"426",0.604605,0.148368,-5.092368
"427",0.589385,0.158014,23.583892
"428",0.867075,0.138106,28.08302
"429",0.559209,0.17317,34.054595
"430",0.660149,0.139082,27.484393
"431",0.644146,0.146145,10.141407
"432",0.758592,0.159561,-0.101212
"433",0.629141,0.172769,38.163706
"434",0.717278,0.146647,9.952701
"435",0.702546,0.149391,12.124113
"436",0.735116,0.156912,7.252534
"437",0.633258,0.186252,14.402439
"438",0.623857,0.156103,11.542339
"439",0.621062,0.169293,27.226274
"440",0.709702,0.140231,19.503127
"441",0.68256,0.146924,-0.06863
"442",0.625009,0.13565,23.068709
"443",0.578005,0.125764,17.328441
"444",0.629461,0.12156,-3.901315
"445",0.62801,0.18112,20.757172
"446",0.669392,0.169187,34.149861
"447",0.624683,0.150496,17.015814
"448",0.979566,0.126599,14.746385
"449",0.914238,0.148975,6.15956
"450",0.680321,0.151753,27.714359
"451",0.607262,0.220947,50.841997
"452",0.799894,0.132258,21.660499
"453",0.657379,0.151031,-9.561267
"454",0.816233,0.159911,25.854875
"455",0.806158,0.178304,31.481499
"456",0.597249,0.155623,4.281764
"457",0.783433,0.146983,13.046702
"458",0.656461,0.144974,18.893741
"459",0.666194,0.135124,25.003763
"460",0.602938,0.155055,-8.972502
"461",0.676228,0.141067,11.531607
"462",0.640383,0.130012,27.423483
"463",0.634291,0.160432,34.822207
"464",0.694405,0.156818,-6.082735
"465",0.605353,0.13186,3.856364
"466",0.644003,0.146118,15.1519
"467",0.902368,0.16966,-2.49856
"468",0.665212,0.156159,16.024937
"469",0.584792,0.176901,-10.478156
"470",0.856004,0.134739,-3.314896
"471",0.616974,0.152483,18.93512
"472",0.87963,0.140472,10.686839
"473",0.620128,0.1582,21.373657
"474",0.879642,0.154691,19.226249
"475",0.633475,0.158773,23.597239
"476",0.651492,0.172068,4.825845
"477",0.59029,0.151309,-7.185866
"478",0.64911,0.171563,17.782472
"479",0.532064,0.192227,39.272725
"480",0.694376,0.142029,2.735052
"481",0.841671,0.144938,11.878342
"482",0.601458,0.132799,36.73907
