"","edge","mean","pattern"
"271",0.852397,0.151188,14.854905
"272",0.645685,0.157423,14.639994
"273",0.655047,0.153909,21.558139
"274",0.658645,0.152141,17.804326
"275",0.798982,0.139043,19.373553
"276",0.982352,0.143324,13.955602
"277",0.648871,0.169223,22.760922
"278",0.642295,0.150075,18.414509
"279",0.679033,0.166066,0.693161
"280",0.73183,0.145932,19.237467
"281",0.834038,0.144919,16.869575
"282",0.620855,0.153775,19.304741
"283",0.701749,0.143909,22.586696
"284",0.917731,0.151994,2.32318
"285",0.73161,0.155462,-0.858696
"286",0.929613,0.15254,11.406591
"287",0.668359,0.147354,19.255102
"288",0.69177,0.172201,15.551853
"289",0.832918,0.149686,15.124237
"290",0.713423,0.139504,17.815204
"291",0.895256,0.14129,18.994351
"292",0.952446,0.150659,17.565442
"293",0.624466,0.166866,5.002089
"294",0.912626,0.138438,1.146101
"295",0.684579,0.160155,7.935119
"296",0.825855,0.149667,11.477363
"297",0.633505,0.181325,7.28773
"298",0.82884,0.160047,7.177804
"299",0.679344,0.15806,17.238442
"300",0.984464,0.151149,10.043762
"301",0.768705,0.162683,4.91923
"302",0.978382,0.147025,11.860785
"303",0.528048,0.157603,17.396647
"304",0.934673,0.146193,17.058847
"305",0.692288,0.155824,9.308644
"306",0.803061,0.146484,10.017188
"307",0.924318,0.152699,9.98025
"308",0.736396,0.153955,15.753349
"309",0.823392,0.149954,10.290129
"310",0.877178,0.156524,12.94149
"311",0.709139,0.141212,19.607874
"312",0.685533,0.142361,22.477821
"313",0.924791,0.145193,7.439349
"314",0.599042,0.183791,30.403268
"315",0.791195,0.139922,21.110813
"316",0.648604,0.158835,16.681456
"317",0.579319,0.152602,17.109591
"318",0.618437,0.158807,11.147463
"319",0.750886,0.147428,12.86435
"320",0.600762,0.145623,20.348172
"321",0.669189,0.148816,13.568824
"322",0.593053,0.15807,16.829741
"323",0.810996,0.131438,21.083305
"324",0.720934,0.165469,7.707482
"325",0.690002,0.148634,15.002351
"326",0.543337,0.139403,24.20358
"327",0.813364,0.153283,18.299069
"328",0.832828,0.1506,19.739901
"329",0.869614,0.144357,13.475752
"330",0.708502,0.154184,15.987043
"331",0.629142,0.172528,13.431918
"332",0.68536,0.152316,13.028173
"333",0.749124,0.143754,23.255638
"334",0.761037,0.144883,12.776087
"335",0.616982,0.19153,42.502318
"336",0.624913,0.161467,17.485755
"337",0.578822,0.169591,-29.73256
"338",0.643763,0.147137,14.905306
"339",0.665443,0.156544,13.64533
"340",0.636312,0.148274,17.123309
"341",0.618485,0.159507,10.932826
"342",0.667016,0.159014,3.635556
"343",0.603839,0.156195,10.985965
"344",0.665352,0.153272,0.662592
"345",0.585383,0.132534,18.616357
"346",0.656994,0.163618,14.045641
"347",0.691455,0.156836,15.061029
"348",0.647879,0.146662,21.427761
"349",0.63633,0.153449,-1.642846
"350",0.621981,0.154524,-2.866446
"351",0.627403,0.158548,16.651275
"352",0.600853,0.149196,13.284145
"353",0.737206,0.144047,13.592978
"354",0.627459,0.149748,14.180442
"355",0.733816,0.137543,20.724858
"356",0.738409,0.159813,14.706579
"357",0.632364,0.145385,20.593568
"358",0.666602,0.161227,14.217011
"359",0.662804,0.139943,21.360711
"360",0.863089,0.147782,1.341405
"361",0.904387,0.133113,15.111475
"362",0.834878,0.147767,19.683321
"363",0.718121,0.154234,18.328372
"364",0.848147,0.15473,14.462807
"365",0.750069,0.163987,14.685013
"366",0.921041,0.143861,5.375334
"367",0.933883,0.138977,11.158972
"368",0.635012,0.164882,27.802688
"369",0.683095,0.155048,1.119789
"370",0.697395,0.161023,6.626446
"371",0.731121,0.149518,8.645266
"372",0.790555,0.157425,3.860164
"373",0.919693,0.1622,14.981543
"374",0.65225,0.13982,22.207729
"375",0.72428,0.151634,20.621287
"376",0.72821,0.157452,18.5513
"377",0.612624,0.151197,19.113337
"378",0.676938,0.160713,14.551539
"379",0.729544,0.142033,6.677564
"380",0.729627,0.180776,10.132397
"381",0.685421,0.137649,19.999432
"382",0.685884,0.1511,16.677654
"383",0.600267,0.149541,22.755995
"384",0.604831,0.148381,19.397442
"385",0.614782,0.17559,26.444471
"386",0.861245,0.149382,3.948794
"387",0.779277,0.166481,7.639542
"388",0.649345,0.178259,29.674117
"389",0.833051,0.158067,13.513317
"390",0.649886,0.169362,8.130894
"391",0.575402,0.156801,28.641906
"392",0.591563,0.15071,20.803632
"393",0.993597,0.144326,12.124771
"394",0.654147,0.144287,11.8961
"395",0.70954,0.144051,19.054434
"396",0.67428,0.163639,6.119911
"397",0.677604,0.159473,10.450266
"398",0.651985,0.145527,16.115409
"399",0.677872,0.149772,3.305417
"400",0.634298,0.156347,16.702557
"401",0.989161,0.145098,5.10107
"402",0.919588,0.139723,16.429153
"403",0.686328,0.148132,17.208004
"404",0.672574,0.147596,6.380179
"405",0.645102,0.154565,16.630414
"406",0.625908,0.142498,16.714971
"407",0.682877,0.155797,16.233435
"408",0.650008,0.153824,13.83647
"409",0.784643,0.148749,20.109829
"410",0.949071,0.158248,15.300908
"411",0.752777,0.156868,7.151308
"412",0.652329,0.182205,26.894465
"413",0.79251,0.137456,18.141452
"414",0.718112,0.157244,4.357168
"415",0.922362,0.136407,17.941417
"416",0.615541,0.179929,9.38486
"417",0.600759,0.153507,21.816927
"418",0.593413,0.152995,20.452053
"419",0.6593,0.16381,10.492161
"420",0.636172,0.160707,10.703034
"421",0.727803,0.160538,13.614861
"422",0.661625,0.166192,4.848506
"423",0.819286,0.162112,15.551414
"424",0.600556,0.158051,15.745363
"425",0.607911,0.157168,11.211342
"426",0.813578,0.146721,18.797847
"427",0.804422,0.140901,25.25105
"428",0.806932,0.148388,12.837075
"429",0.905896,0.150659,10.202817
"430",0.913109,0.146615,4.859363
"431",0.827142,0.146441,17.374738
"432",0.958751,0.150527,3.353278
"433",0.958852,0.152185,11.508009
"434",0.834506,0.148291,16.445558
"435",0.887592,0.151391,19.978672
"436",0.828116,0.151127,17.204823
"437",0.74373,0.148946,18.036467
"438",0.72018,0.146095,21.229923
"439",0.626662,0.166361,12.810048
"440",0.65269,0.143982,20.265622
"441",0.659345,0.156897,3.87014
"442",0.598539,0.15497,16.934804
"443",0.643124,0.157338,17.846025
"444",0.737921,0.14851,16.687822
"445",0.821407,0.153631,16.882229
"446",0.732808,0.149792,7.280442
"447",0.587527,0.150293,17.664139
"448",0.657426,0.159845,18.959501
"449",0.622532,0.149989,16.636238
"450",0.790933,0.17122,6.19072
"451",0.63172,0.135482,23.197633
"452",0.881402,0.146623,10.828041
"453",0.762746,0.15333,0.632474
"454",0.6145,0.143981,20.985835
"455",0.659521,0.149471,3.933698
"456",0.624165,0.155591,14.001817
"457",0.741347,0.147314,12.294741
"458",0.676101,0.149612,17.815699
"459",0.670868,0.140288,12.159923
"460",0.664235,0.150152,6.740755
"461",0.880012,0.155282,3.265602
"462",0.634591,0.162695,4.0808
"463",0.690688,0.148905,24.7462
"464",0.625749,0.136478,12.509521
"465",0.567791,0.159351,22.470559
"466",0.673877,0.132516,-0.819247
"467",0.642873,0.135152,18.56659
"468",0.616829,0.158622,14.901968
"469",0.550747,0.14175,23.818485
"470",0.744176,0.154053,13.697732
"471",0.626308,0.14145,22.843409
"472",0.696095,0.144284,19.671088
"473",0.903832,0.137355,19.024847
"474",0.658643,0.188002,-7.066391
"475",0.657078,0.158105,13.180762
"476",0.620446,0.151358,18.388378
"477",0.621328,0.148597,16.994629
"478",0.821946,0.159215,13.991326
"479",0.830419,0.159143,14.589948
"480",0.653284,0.149927,16.778477
"481",0.670407,0.158776,15.255143
"482",0.942982,0.161434,14.088968
"483",0.604705,0.160708,16.258427
"484",0.858696,0.154429,16.340766
"485",0.632586,0.159546,21.714908
"486",0.909171,0.15227,13.721506
"487",0.576023,0.161991,8.606401
"488",0.84546,0.134229,21.67209
"489",0.935997,0.153062,13.354512
"490",0.706848,0.150655,6.45661
"491",0.684086,0.157581,18.301882
"492",0.631935,0.147075,17.507797
"493",0.857123,0.156563,8.125951
"494",0.551908,0.147629,10.812314
"495",0.689915,0.154306,19.774712
"496",0.771823,0.149081,20.420473
"497",0.61923,0.133795,18.119212
"498",0.75101,0.155714,17.070279
"499",0.677446,0.164593,4.150712
"500",0.702942,0.155164,12.322827
"501",0.686397,0.147731,17.401756
"502",0.830838,0.143083,6.178279
"503",0.621637,0.156401,23.145382
"504",0.842998,0.137428,13.951621
"505",0.64764,0.160216,8.681696
"506",0.656042,0.163751,11.251282
"507",0.646112,0.14949,20.052738
"508",0.67611,0.155974,9.167386
"509",0.655119,0.17604,8.964196
"510",0.607113,0.167436,18.290274
"511",0.642777,0.149702,21.108786
"512",0.657751,0.150186,19.715901
"513",0.646927,0.175714,4.437757
"514",0.60542,0.140925,23.351848
"515",0.61193,0.182397,31.170814
"516",0.71933,0.165117,4.114469
"517",0.743095,0.158941,13.378138
"518",0.65386,0.146121,20.286711
"519",0.648436,0.147862,16.157727
"520",0.654188,0.145507,19.434177
"521",0.682341,0.14318,20.84543
"522",0.902355,0.139529,8.976938
"523",0.703122,0.162788,20.722356
"524",0.659371,0.162047,11.213135
"525",0.677232,0.156557,16.078034
"526",0.689372,0.16381,12.18751
"527",0.683899,0.157357,5.431355
"528",0.628539,0.147893,22.861759
"529",0.642859,0.153527,15.573745
"530",0.779184,0.155238,15.133638
"531",0.963439,0.138207,13.598053
"532",0.641248,0.156492,8.437901
"533",0.67314,0.127513,23.234475
"534",0.601211,0.158753,17.10127
"535",0.70306,0.152728,0.45613
"536",0.711263,0.170806,7.955804
"537",0.668525,0.150919,9.374065
"538",0.883493,0.150228,2.661962
"539",0.90455,0.153344,6.66479
"540",0.872064,0.155889,6.675005
"541",0.629052,0.152887,6.174383
"542",0.480924,0.130213,28.405275
"543",0.724726,0.150069,17.183009
"544",0.751422,0.153557,21.472477
"545",0.702752,0.152755,15.435725
"546",0.726885,0.152635,7.448029
"547",0.829977,0.156864,9.959242
"548",0.982875,0.152048,14.924032
"549",0.878581,0.151316,5.923648
"550",0.650199,0.151006,16.895319
"551",0.634768,0.15933,13.940922
"552",0.96017,0.161198,1.657856
"553",0.802193,0.152185,11.112085
"554",0.60133,0.137631,24.548608
"555",0.753312,0.138573,27.479285
"556",0.951603,0.129078,16.106371
"557",0.852787,0.158133,17.656261
"558",0.696712,0.143965,20.168748
"559",0.676977,0.154551,18.641327
"560",0.744507,0.131135,11.056006
"561",0.69625,0.162346,16.403413
"562",0.626459,0.140644,11.709678
"563",0.60457,0.151845,29.706708
"564",0.690368,0.160115,14.20613
"565",0.696392,0.140685,14.483044
"566",0.516221,0.147638,22.301662
"567",0.682339,0.152491,12.914636
"568",0.674719,0.153896,18.009683
"569",0.653202,0.146158,12.427628
"570",0.656075,0.164438,7.12763
"571",0.680712,0.145673,10.015854
"572",0.663728,0.148329,15.743035
"573",0.697652,0.155733,13.684911
"574",0.767906,0.148121,22.037109
"575",0.628302,0.179149,17.2175
"576",0.637887,0.16152,14.073141
"577",0.633482,0.15184,11.383456
"578",0.811941,0.176898,22.692491
"579",0.611262,0.152477,25.535976
"580",0.582075,0.142697,21.81678
"581",0.755371,0.149747,18.737754
"582",0.716597,0.141683,-1.042294
"583",0.944393,0.142097,1.39157
"584",0.924415,0.138201,19.775677
"585",0.765185,0.150872,18.184352
"586",0.666425,0.148762,13.548192
"587",0.65999,0.175782,3.34697
"588",0.67928,0.200644,9.869142
"589",0.637431,0.155494,18.745028
"590",0.978928,0.146302,7.044996
"591",0.770371,0.147201,18.574638
"592",0.713027,0.149852,18.859138
"593",0.700187,0.155027,4.785767
"594",0.947028,0.138131,20.999038
"595",0.812698,0.148119,13.304505
"596",0.838489,0.149961,11.348948
"597",0.500349,0.149584,20.096251
"598",0.590343,0.152683,25.642962
"599",0.499579,0.164838,9.609663
"600",0.731857,0.164536,17.470093
"601",0.638464,0.156489,19.108018
"602",0.698791,0.153277,7.175324
"603",0.620691,0.159339,16.880356
"604",0.705436,0.156916,4.345184
"605",0.584462,0.161851,3.386039
"606",0.629863,0.174702,2.950359
"607",0.624091,0.140637,23.087518
"608",0.85511,0.143768,18.004445
"609",0.670543,0.167985,11.536076
"610",0.675502,0.1499,19.337439
"611",0.543862,0.154261,21.411269
"612",0.784302,0.142983,-5.03334
"613",0.912318,0.149152,12.339735
"614",0.686736,0.135955,21.689415
"615",0.887104,0.151415,4.690918
"616",0.942485,0.149471,18.342792
"617",0.579305,0.17963,-7.807629
"618",0.806207,0.15515,11.965967
"619",0.741921,0.134385,22.73789
"620",0.727462,0.145008,15.73972
"621",0.59603,0.16194,16.111069
"622",0.616494,0.150385,14.668084
"623",0.706564,0.135625,24.542071
"624",0.863421,0.148975,17.891593
"625",0.945557,0.150415,7.547133
"626",0.643849,0.159271,11.077751
"627",0.662023,0.152869,16.503113
"628",0.900974,0.15826,3.747769
"629",0.812302,0.135369,19.515423
"630",0.720854,0.145308,-7.981388
"631",0.910645,0.146908,17.501101
"632",0.638798,0.146029,11.301759
"633",0.803808,0.142707,19.066233
"634",0.6855,0.14971,17.758261
"635",0.981494,0.150936,14.495917
"636",0.689506,0.158405,9.39477
"637",0.886883,0.142965,20.250327
"638",0.790104,0.148578,1.470954
"639",0.687206,0.152383,-0.233043
"640",0.76895,0.143021,19.117545
"641",0.975719,0.141878,5.123914
"642",0.77868,0.156426,8.694831
"643",0.938351,0.14615,16.299281
"644",0.980535,0.151297,2.340364
"645",0.981429,0.143981,10.748872
"646",0.982092,0.14665,4.880429
"647",0.947043,0.159943,6.903682
"648",0.919208,0.142065,20.111368
"649",0.870236,0.135611,18.00147
"650",0.677629,0.172839,13.339794
"651",0.555658,0.134616,23.292835
"652",0.800678,0.152059,15.877345
"653",0.914305,0.150453,16.879932
"654",0.782952,0.154265,16.933659
"655",0.681491,0.15301,2.755186
"656",0.893925,0.145618,12.398763
"657",0.91903,0.151303,6.193861
"658",0.705773,0.144991,1.389896
"659",0.59711,0.156623,18.0619
"660",0.768867,0.15168,14.612978
"661",0.707669,0.148409,3.299791
"662",0.6556,0.131011,24.759523
"663",0.62175,0.157921,1.615411
"664",0.701183,0.15112,4.157936
"665",0.847981,0.152321,4.776762
"666",0.911671,0.149235,13.458104
"667",0.618136,0.169869,10.17141
