"","edge","mean","pattern"
"369",0.89648,0.110854,-2.572075
"370",0.801449,0.117906,5.599201
"371",0.598425,0.11592,-12.24949
"372",0.640154,0.117911,-1.427511
"373",0.623244,0.130021,-1.606913
"374",0.5964,0.098031,5.746517
"375",0.664159,0.121826,6.64966
"376",0.94885,0.125587,-1.10586
"377",0.692292,0.124409,-0.585884
"378",0.63888,0.131867,2.523422
"379",0.621368,0.101403,-3.790441
"380",0.746069,0.151392,-6.346247
"381",0.759159,0.098861,-1.339229
"382",0.6762,0.113276,0.830277
"383",0.629,0.113619,3.630967
"384",0.631407,0.124766,0.884637
"385",0.664762,0.133462,20.588391
"386",0.69421,0.104624,-0.772778
"387",0.827468,0.135289,-1.909244
"388",0.670818,0.140644,13.145197
"389",0.669022,0.131093,-0.545235
"390",0.646873,0.145979,-11.461303
"391",0.61285,0.111287,13.538993
"392",0.63295,0.119228,4.11338
"393",0.653724,0.096914,-1.049231
"394",0.608001,0.10498,-1.386594
"395",0.62241,0.113154,-1.105969
"396",0.677808,0.134023,-3.488614
"397",0.627435,0.126319,0.223759
"398",0.629579,0.106585,0.701819
"399",0.609895,0.114771,1.725541
"400",0.629479,0.123591,-0.62209
"401",0.617895,0.093989,0.015449
"402",0.426835,0.097422,-0.819466
"403",0.635479,0.108664,-0.18635
"404",0.629209,0.102858,0.292336
"405",0.633256,0.123095,0.840981
"406",0.630304,0.115338,-0.302473
"407",0.614255,0.122848,0.042699
"408",0.632101,0.121042,0.684339
"409",0.839583,0.107903,-1.250981
"410",0.522281,0.124351,-0.74729
"411",0.684619,0.122193,-0.124764
"412",0.691426,0.145723,19.540965
"413",0.574294,0.094305,1.635084
"414",0.607317,0.112282,-10.331976
"415",0.701479,0.097459,1.38452
"416",0.601095,0.147191,-3.747378
"417",0.658085,0.108404,6.001661
"418",0.74435,0.121348,1.428182
"419",0.629926,0.130317,-8.746129
"420",0.605179,0.1242,2.869881
"421",0.778275,0.124928,-2.00885
"422",0.676903,0.134937,-0.019834
"423",0.829294,0.134804,-2.850997
"424",0.735215,0.134679,-3.197291
"425",0.753012,0.120802,-5.35765
"426",0.667794,0.123119,1.015088
"427",0.717446,0.108715,7.132692
"428",0.577928,0.114126,-7.102628
"429",0.728815,0.110024,-1.959181
"430",0.715334,0.110294,-5.715225
"431",0.549004,0.111435,-2.542871
"432",0.58205,0.10652,-2.556477
"433",0.55646,0.11228,-2.368569
"434",0.647877,0.124862,-2.008845
"435",0.602107,0.11225,0.8377
"436",0.661436,0.123184,-2.742469
"437",0.559956,0.109054,2.15311
"438",0.615399,0.110691,1.529473
"439",0.575504,0.135052,-1.286031
"440",0.625258,0.103372,2.610896
"441",0.616911,0.123909,-4.43767
"442",0.658658,0.116233,3.010058
"443",0.690801,0.124908,2.492746
"444",0.6122,0.106601,-0.287653
"445",0.638359,0.121593,1.461318
"446",0.600347,0.100123,2.623955
"447",0.60692,0.122477,0.991441
"448",0.610856,0.133389,1.577121
"449",0.63115,0.12081,-1.476729
"450",0.517579,0.139559,2.368557
"451",0.630969,0.102616,3.634743
"452",0.622861,0.100073,-1.449757
"453",0.62246,0.106443,0.27605
"454",0.626186,0.113648,1.438187
"455",0.602876,0.1064,0.368591
"456",0.633879,0.117399,1.804548
"457",0.628968,0.09766,0.136062
"458",0.628143,0.117944,-2.611379
"459",0.668599,0.094296,-0.863631
"460",0.654644,0.107473,1.381351
"461",0.706801,0.124615,-0.126762
"462",0.647004,0.128028,0.884638
"463",0.711383,0.107359,5.327287
"464",0.527798,0.097862,-4.900929
"465",0.63005,0.125691,4.954355
"466",0.620958,0.084367,-5.663592
"467",0.648741,0.104945,0.400826
"468",0.596534,0.140942,-1.603435
"469",0.629103,0.1103,3.425841
"470",0.595443,0.118072,1.541841
"471",0.600363,0.106976,2.450878
"472",0.595396,0.107347,-0.928834
"473",0.602412,0.099655,-1.382647
"474",0.658299,0.147335,-24.875198
"475",0.625186,0.12426,2.544559
"476",0.796814,0.123974,0.914696
"477",0.714278,0.128644,0.457316
"478",0.583312,0.128696,0.137637
"479",0.696764,0.129817,-1.871372
"480",0.609448,0.130574,1.117306
"481",0.785419,0.130553,1.472403
"482",0.637322,0.130742,-2.4995
"483",0.733053,0.140438,-2.32105
"484",0.580266,0.122449,-0.993554
"485",0.63021,0.115546,5.849442
"486",0.622248,0.117411,-2.626681
"487",0.607462,0.118091,4.387799
"488",0.602582,0.091576,3.551428
"489",0.753181,0.114824,1.499021
"490",0.662284,0.106809,1.626126
"491",0.748557,0.130402,1.661686
